"b117237681","FIC SAKS","Death in Dyker Heights :","ocn807041164",,"9781477138809";"1477138803",
"b117237693","FIC SAKS","A murder in Gravesend /","ocn710798183",,"1441584455";"9781441584458",
"b117252177","959.7043 N","Bringing it all back home :","ocn809845119","2012034731","9780809073184 (hbk. : alk. paper)";"0809073188 (hbk. : alk. paper)",
"b117286813","974.723 C","Prospect Park :","ocn806015322","2012034280","9781616891183 (hardback) :";"1616891181 (hardback)",
"b117286825","974.723 M","Chronicles of historic Brooklyn /","ocn827261443","2013013805","9781609499594 :";"160949959X",
"b117286837","B PLUMMER B","Brooklyn 593 (revised) :","ocn827259178",,"1479780006 (pbk.) :";"9781479780006 (pbk.) :",
"b117286849","371.0109 L","New York City public schools from Brownsville to Bloomberg :","ocn828057225","2013012439","9780807754511 (pbk. : alk. paper) :";"080775451X (pbk. : alk. paper)",
"b117329873","974.723 S","A history of the city of Brooklyn /","ocn781679137",,"1458500284 (pbk.) :";"9781458500281 (pbk.) :",
"b11733991x","973.7447 C","The 14th Brooklyn Regiment in the Civil War :","ocn794708233","2013005751","9780786448999 (softcover : alk. paper)";"0786448997 (softcover : alk. paper)",
"b117345374","796.357 R","Beyond home plate :","ocn813949538","2013002080","9780815610014 (cloth : alk. paper) :";"0815610017 (cloth : alk. paper)",
"b117379505","307.3416 E","Eco-Gowanus :","ocn124162414","2007018439","9781883584467 (alk. paper) :";"1883584469 (alk. paper)",
"b11737975x","363.882 S","Community food assessment for recipients of nutritional assistance in Brooklyn /","ocn639957247",,,
"b117379773","337.77 U","U.S. Brooklyn Court Project :","ocm42677514",,,
"b117379980","388.3472 B","Bikes and the Brooklyn waterfront :","ocn849317764",,,
"b117380052","307.12 R","Research report on the potential Underground Railroad Associations of the Duffield Street and Gold Street properties in Downtown Brooklyn /","ocn849317875",,,
"b117380234","B CORY M","A brief history of Maude Wilson Cory who was prominent in Brooklyn, New York in business and politics /","ocn849372061",,,
"b117380246","974.723 G","Brooklyn Theatre :","ocn849372336",,,
"b117380465","610 M","[Miscellaneous documents issued by Brooklyn City Hospital].","ocn849414280",,,
"b117380532","BCMS0015","Ina Clausen Papers,","on1015677785",,,
"b11738060x","B CADMAN S","Stenotype transcription of Cadman Memorial, held at Brooklyn Academy of Music, Thursday evening Dec. 18th, 1941, Justice Lewis J. Fawcett presiding.","ocn849513483",,,
"b117425588","741.973 D","The pastels of Leon Dabo /","ocn824134217",,"9780985071417";"0985071419",
"b117425606","FIC MANBECK","Death on the rise :","ocn853704175",,"9780615730882";"0615730884",
"b117425667","296.0974 B","Our journey :","ocn853683936",,"9780615740379";"0615740375",
"b117425679","811 M","What are years /","ocm03393751","41018472",,
"b117425692","B BULLET A","The autobiography of Emma Bullet :","ocm25054651",,,
"b117430869","373.74723 A","Excelsior /","ocn854433628",,,
"b117430882","373.74723 S","Senior classic /","ocn854433641",,,
"b117430894","373.74723 S","Year book /","ocn854444067",,,
"b117430900","378.74723 B","Broeklundian /","ocm22460796",,,
"b117430912","373.74723 N","Comet /","ocn854461188",,,
"b117430985","373.74723 S","The Girls' High School Triennial.","ocn854468891",,,
"b117430997","378.74723 S","The warrior /","ocn854433769",,,
"b11743100x","373.74723 B","The evening star :","ocn854468929",,,
"b117432520","025.2 S","Book acquisition problems in public libraries /","ocn854620426",,,
"b117432556","331.85 W","Annual report.","ocn854624572",,,
"b117432696","B SPICER T","To the memory of Elihu Spicer, who died February 15th, 1893.","ocm35161641",,,
"b117432702","B CLAFIN H","Horace B. Claflin :","ocm00512876","01001190",,
"b117432714","B ATWATER I","In memoriam, Christina Spencer, wife of James C. Atwater.","ocm58670815",,,
"b117432726","B WHITING C","Transition :","ocm21056112","22025877",,
"b117432763","B MURPHY H","Henry C. Murphy :","ocm34179988",,,
"b117432775","B MURPHY S","Memoir of Hon. Henry C. Murphy, LL. D., of Brooklyn, N.Y. /","ocm15351899","01010242",,
"b117432787","B EVANS G","Gilbert Evans :","ocm22712816",,,
"b117432830","B STONE D","Delia Charlotte Stone.","ocm36374631",,,
"b117432842","B WALLACE I","In memoriam :","ocm34783668",,,
"b117434188","373.74723 T","Aurora.","ocm50546340",,,
"b11743422x","929.2 F","The descendants of William Forbes :","ocm19051179",,,
"b117434231","929.2 S","Ebbets :","ocn845098490",,,
"b117434243","B BROWN I","Into each life /","ocn854845966",,"9781468111293";"1468111299",
"b117434255","B BROWN L","A litttle rain /","ocn854845970",,"9781466239630";"1466239638",
"b117434267","373.74723 B","Maroon and white /","ocm11109376",,,
"b117434279","373.74723 F","Senior echoes.","ocm50546264",,,
"b117434930","791.32 D","Topsy :","ocn850420895",,"9780802119049 (hc.) :";"0802119042 (hc.)";"9780802146052 (pbk.) :",
"b117437554","974.71044 J","Fluid New York :","ocn816030820","2013010099","9780822354604 (cloth : alk. paper)";"0822354608 (cloth : alk. paper)";"9780822354727 (pbk. : alk. paper) :";"0822354721 (pbk. : alk. paper)",
"b117462925","974.71 L","Guide to New York City urban landscapes /","ocn818865889","2012042388","9780393733570 (paperback) :";"0393733572 (paperback)",
"b117474800","917.4723 N","Not for tourists guide to Brooklyn.","ocn829989249",,"1626360499 :";"9781626360495 :",
"b117491196","B MAILER L","Norman Mailer :","ocn830680915","2013005097","1439150192 (hardback) :";"9781439150191 (hardback) :";"9781439150214 (paperback) :",
"b11749270x","796.32309 T","Heaven is a playground /","ocn852400001","2013026287","9781613213940 (hardcover) :";"1613213948 (hardcover) :",
"b11752511x","346.0434 F","The great rent wars :","ocn824608942","2012048964","9780300191721 (alk. paper) :";"0300191723 (alk. paper)",
"b117526393","700.97471 F","Art on the block :","ocn828246109",,"9781137278494 :";"1137278498",
"b117526769","974.71044 H","The New York nobody knows :","ocn840160965","2013017223","9780691144054 (hbk. : acid-free paper)";"0691144052 (hbk. : acid-free paper)";"9780691169705 (pbk.) :";"0691169705 (pbk.)",
"b117552999","B TYSON U","Undisputed truth /","ocn858246131","2013036115","0399161287 (hardback) :";"9780399161285 (hardback) :",
"b11755540x","641.8652 E","The Four & Twenty Blackbirds pie book :","ocn827082742","2013939669","1455520519 :";"9781455520510 :",
"b11755764x","DVD 641.23 B","Brewed in brooklyn (DVD)","ocn846866336","846866336","1568394632 :",
"b117560261","641.59747 Z","Brooklyn chef's table :","ocn830367057","2013041491","9780762786350 :";"0762786353",
"b117592936","307.0974 C","The accidental playground :","ocn841212662","2013016262","0823251861 (pbk.) :";"9780823251865 (pbk.) :",
"b117592948","796.83097 T","Come out swinging :","ocn820123456","2012049335","069115029X (hbk.) :";"9780691150291 (hbk.) :",
"b117592961","B QUARANTELLO S","Surviving the warzone :","ocn866585682",,"9781483641263 :";"1483641260 :",
"b117592973","791.06874 G","Lost amusement parks of New York City :","ocn852831493","2013030403","1626191034 (paperback) :";"9781626191037 (paperback) :",
"b117592985","324.623 P","Long Island and the woman suffrage movement /","ocn845236131","2013021766","9781609497682 (pbk.) :";"1609497686 (pbk.)",
"b11759300x","285.8747 D","Brooklyn's Plymouth Church in the Civil War era :","ocn855581001","2013034552","9781609498108 (paperback) :";"1609498100 (paperback)",
"b117593011","363.61097 S","Empire of water :","ocn808245122","2012033792","0801449901 (hbk.) :";"9780801449901 (hbk.) :";"1501725114 (pbk.) :";"9781501725111 (pbk.) :",
"b117593023","720.9747 H","Design Brooklyn :","ocn857109989","2013935966","9781617690525 (hbk.) :";"161769052X (hbk.)",
"b117593035","363.4109 L","Smugglers, bootleggers, and scofflaws :","ocn819531707","2012044468","9781438448169 (paperback : alkaline paper) :";"1438448163 (paperback : alkaline paper)",
"b117649508","388.42097 M","The race underground :","ocn846545926","2013030525","0312591322 (hardcover) :";"9780312591328 (hardcover) :";;,
"b117650845","796.32364 A","Brooklyn bounce :","ocn852226620","2013042088","1476726752 (hardback) :";"9781476726755 (hardback) :";"1476726760 (paperback)";"9781476726762 (paperback)",
"b117663554","142.78 D","Brooklyn existentialism :","ocn254615887","2010537003","0929891066 :";"9780929891064",
"b117679264","779.9974 R","Brighton Beach :","ocn862516037",,"9780615824734 :";"0615824730",
"b117679380","779.9974 G","Brooklyn revisited :","ocn867860322",,"9781432783969 :";"1432783963 :",
"b117679446","920.0747 P","Prominent families of New York :","ocm04604610","03019140",,
"b117679574","B HUNTINGTON C","The courtship  of a Brooklyn lawyer and his Sea Cliff lassie :","ocn759828862",,,
"b117679823","B REIFF R","Teacher, scholar, mentor :","ocn864824264",,,
"b117680217","220.15 R","Prophecy :","ocm01612781","30008843",,
"b117680242","252 T","Sermons.","ocn868020911",,,
"b117680254","252 T","Sermons.","ocn868020944",,,
"b117680291","307.3416 A","Atlantic Yards Arena and redevelopment project :","ocn868021930",,,
"b11768031x","929.1 S","A hand-book of practical suggestions for the use of students in genealogy /","ocn868024633",,,
"b117680357","387.5 M","The mast.","ocn228670578",,,
"b117682901","929.2 T","The ancestors and descendants of Humphrey Nichols of Newark, New Jersey, and of his brothers and sisters /","ocm19214922","18022772",,
"b117682962","394.264 C","Carnival journal.","ocm57384956",,,
"b117682974","338.1097 N","Annual report /","ocn477063750",,,
"b117684053","373.74723 F","Fontbonne.","ocn868058833",,,
"b117684107","373.74723 S","The survey.","ocn868059958",,,
"b117684491","B JUSTA K","Fran /","ocn868065674",,"9780578124957 :";"0578124955 :",
"b117692190","974.704 G","Machine made :","ocn867001074","2013045565","9780871403759 (hardcover) :";"0871403757 (hardcover)",
"b117762994","641.862 S","Ample Hills Creamery :","ocn858845649","2013945634","1617690767";"9781617690761 :",
"b117769678","779.99747 R","The waters of our time /","ocn846889342",,"1576876780 (pbk.) :";"9781576876787 (pbk.) :",
"b117804010","364.1092 H","The mob and the city :","2013049314","2013049314","9781616149239 :";"161614923X :",
"b117805063","B MILLER H","The unknown Henry Miller :","2013046530","2013046530","9781611458992 :";"1611458994 :",
"b117809858","796.6097 S","Best bike rides New York City :","ocn875771232","2014010831","0762784458 (pbk.) :";"9780762784455 (pbk.) :",
"b117829997","021.2 I","Informed agitation :","ocn869140874","2013042417","9781936117871 (pbk. : alk. paper)";"1936117878 (pbk. : alk. paper)",
"b117845449","974.723 S","Bay Ridge /","ocn842209472","2013932831","1467120227 (pbk.) :";"9781467120227 (pbk.) :",
"b117904120","641.5676 S","Knish :","ocn862349348","2013040545","1611683122 (cloth : alk. paper)";"1611685451 (ebook)";"9781611683127 (cloth : alk. paper) :";"9781611685459 (ebook)",
"b117908204","751.73 P","A love letter to the city /","ocn854512599","2013025686","9781616892081 (alk. paper) :";"1616892080 (alk. paper)",
"b117908216","974.71 N","Footprints in New York :","ocn857803708","2014001590","9780762796366";"0762796367",
"b117908228","796.357 M","Mover and shaker :","ocn861955722","2013046057","9780803245082 (cloth : alk. paper) :";"0803245084 (cloth : alk. paper)",
"b117911367","309.26 N532 P","Plan for New York City, 1969 :","ocn810851756",,"0262640066";"9780262640060",
"b117911495","686.224 S","Helvetica and the New York City subway system :","ocn667213073","2010039985","9780262015486";"026201548X",
"b117961425","016.7963 S","The Dodgers bibliography :","ocm15629928","87011249","0887362060 (alk. paper)";"9780887362064 (alk. paper) :",
"b117961437","B KING K","A king's legacy :","ocm39787336","98042215","0809226618";"9780809226610 :",
"b117961449","B SHOTTON G","Burt Shotton, Dodgers manager :","ocm29846376","94005539","0899509819 (alk. paper)";"9780899509815 (alk. paper) :",
"b117961450","B ALSTON Y","A year at a time /","ocm02523028","75036194","087680413X";"9780876804131 :",
"b117961462","796.3576 B","The rhubarb patch ;","ocm01687315","54003538",,
"b11796301x","796.35764 C","Rickey & Robinson :","ocm42683049","99053688","0882959522 (alk. paper)";"9780882959528 (alk. paper) :",
"b117963021","B KOUFAX L","The Sandy Koufax album.","ocm01651859","66007477",,
"b117963033","796.357 C","The Cooperstown Symposium on Baseball and the American culture, 1997 (Jackie Robinson) /","ocm44584532","00269277","0786408316 (softcover : alk. paper)";"9780786408313 (softcover : alk. paper) :",
"b117963045","796.35764 B","Brooklyn Dodgers in their original voices :","ocm41231836","99195179","0966418107";"9780966418101 :",
"b117963525","796.357 D","The Dodgers and me :","ocm00970606","48002783",,
"b117963550","B SCULLY S","Pull up a chair :","ocn310392424","2009012779","9781597974240 (alk. paper) :";"1597974242 (alk. paper)",
"b117963616","B FITZSIMMONS D","Freddie Fitzsimmons :","ocn859192021",,"9781491816059";"1491816058";"9781491816042 :";"149181604X :",
"b117963732","796.357 C","Baseball in '41 :","ocm22911228","90050747","0670833746";"9780670833740",
"b117963781","B HIGBE H","The high hard one /","ocm01374779","67020295",,
"b117963793","296.09747 U","Year book /","ocn880583119",,,
"b117963896","296.68 J","Jewish school directory, New York City.","ocm47642786",,,
"b117963951","373.74723 E","The Eastern.","ocn879261715",,,
"b117963963","378.74721 O","The oracle.","ocm11037037",,,
"b117964062","378.7471 S","Sound.","ocn839272995",,,
"b117964074","373.7471 M","The marquis.","ocn880619957",,,
"b117964086","507 B872","Report upon the condition and progress of the museums for the year ending ... /","ocm08853137","sn 86003026",,"0891-4753"
"b117964098","796.35764 M","Baseball confidential :","ocm01352959","51012689",,
"b117964116","641.8248 W","Viva la pizza! :","ocn858010310",,"9781612193076 (hbk.) :";"1612193072 (hbk.)",
"b117964165","796.35764 T","Every diamond doesn't sparkle /","ocm00365857","64020243",,
"b117978413","758.42 D","Leon Dabo's florals /","ocn873998980",,"9780985071455";"0985071451",
"b117978425","364.1066 H","Street gangs :","ocm00815019","74001375","0803826621";"9780803826625",
"b117978437","929.92 A","American yacht flags, club burgees and private signals of the United States, Canada, the West Indies and South America.","ocn475925538",,,
"b117978772","929.2 M","Moffat genealogies, descent from Rev. John Moffat of Ulster County, New York /","ocn881320951",,,
"b117978784","929.2 S","Genealogies of the Stranahan, Josselyn, Fitch and Dow families in North America /","ocn191113873",,,
"b117978796","929.2 R","A brief history of the Riker family :","ocn881321079",,,
"b117978826","929.2 S","Contributions towards a genealogy of the (Massachusetts) family of Stiles :","ocm03790556","09014116",,
"b117978851","580.7 L","Leaflets /","ocm01537429","sn 77020762",,
"b117978863","635.905 B","Brooklyn Botanic Garden record.","ocm01537441","48043305",,"0096-5251"
"b117978887","252 C","Belief and life, and other sermons /","ocm22449828",,,
"b117978930","252 C","Sermons by J. W. Chadwick :","ocn881325533",,,
"b117978954","252 P","Sermon delivered at the opening of the primary convention in the Church of the Holy Trinity, Brooklyn, N.Y., November 18th, 1868 /","ocm22394427","92839268",,
"b117978991","252 C","Christ's message to a fallen church :","ocm22756982",,,
"b117979089","252 P","The mediatorial sovereignty of Jesus the proof and result of his divine sonship :","ocm23124838",,,
"b117979132","252 H","A pastoral offering from the rector of St. Mark's, Williamsburgh, to his beloved parishioners on the twenty-first anniversary of his pastorate :","ocm24839060",,,
"b117982003","252 C","Chadwick's discourses, 1886-1895 /","ocn881382054",,,
"b117982015","252 S","A sermon commemorative of Mrs. Mary H. Chittenden :","ocm33411143",,,
"b117982027","252 S",""The working bishop." :","ocm20451585",,,
"b118036610","332.10974 J","Capital of capital :","ocn863195530","2013050931","0231169108 (hbk.) :";"9780231169103 (hbk.) :";;,
"b118037663","B HOWARD I","I stooged to conquer :","ocn818318401","2013009772","9781613747667 :";"1613747667",
"b11807894x","811 WHITMAN M","Rebel souls :","ocn867904318","2014008822","0306822261 (hardback) :";"9780306822261 (hardback) :";;,
"b118079141","974.7 R","A history of New York in 101 objects /","ocn863684327","2013050297","9781476728773 (hbk.) :";"1476728771 (hbk.)",
"b118083752","305.2351 W","A survey of work for boys in Brooklyn.","ocm03014548",,,
"b118084057","726.5 W","Hidden grace :","ocn884969058",,"9780615922102";"0615922104",
"b118084550","727.109 B","Documentation for Public School 133, 375 Butler Street, Brooklyn, New York /","ocn884986259",,,
"b118084641","373.74723 P","Prep shadows.","ocn884987944",,,
"b118084653","373.74723 S","Footprints.","ocm61821552",,,
"b118084689","378.7472 S","Closing entry.","ocn839292917",,,
"b118085001","378.7472 L","The Lichonian.","ocn694572662",,,
"b118085013","378.7472 S","The Liber of ... :","ocn160102933",,,
"b118085050","373.74723 E","Sefer Hashonoh.","ocn885031771",,,
"b118085086","373.7472 P","Prep pow wow.","ocn885035884",,,
"b118085104","664.115 W","Written historical and descriptive data, photographs :","ocn885045164",,,
"b118085128","324.2734 R","By-laws of the Republican General Committee of Kings County, 1873.","ocn885049394",,,
"b118091608","DVD 796.35764 B","Beyond the game.","ocn885336389",,,
"b118117026","307.1412 H","Making a global immigrant neighborhood :","ocn861541336","2014004476","1439910901";"143991091X";"9781439910900";"9781439910917";,
"b118141594","974.723 P","The lost tribe of Coney Island :","ocn881386555","2014011690","9780544262287 (hardcover) :";"054426228X (hardcover)",
"b11814215x","641.54 M","Sunday suppers :","ocn888461422",,"9780385345262 (hbk.) :";"0385345267 (hbk.)",
"b118143232","624.2 T","The bridge /","ocn870516970",,"1620406667 (hbk.) :";"9781620406663 (hbk.) :",
"b118145836","641.874 F","Brooklyn spirits :","ocn889522226",,"9781576877050 (hbk.) :";"1576877051 (hbk.)";"9781576877951 (pbk.) :";"1576877957 (pbk.)",
"b118149179","331.8928 P","The strike that changed New York :","ocm49383875","2002004315","0300081227 (hbk.)";"9780300081220 (hbk.)";"0300109407 (pbk.) :";"9780300109405 (pbk.) :",
"b118252586","B BASQUIAT C","Widow Basquiat :","ocn881824199","2014014500","0553419919 (pbk.) :";"9780553419917 (pbk.) :",
"b118260625","641.815 K","Ovenly :","2014005173","2014005173","9780373892952 :";"0373892950 :",
"b118261654","323.1196 S","All eyes are upon us :","ocn890807639","2014023616","046502226X (hardback) :";"9780465022267 (hardback) :";,
"b118287710","973.931 R","Pay any price :","ocn867078390","2014012010","9780544341418 (hardcover) :";"0544341414 (hardcover)",
"b118287722","974.723 R","Lost Brooklyn /","ocn879244423",,"1909815667";"9781909815667 :",
"b118287746","305.8009 O","Upsetting the apple cart :","ocn880565828","2014012943","9780231149402 (cloth : alk. paper) :";"0231149409 (cloth : alk. paper)",
"b11828776x","282.092 M","New York Catholics :","ocn878812631","2014006050","9781626980716 (pbk.) :";"1626980713 (pbk.)",
"b118287771","296.0973 M","Urban origins of American Judaism /","ocn869367655","2014002328","0820346829 (hardcover) :";"9780820346823 (hardcover) :",
"b118287783","307.7609 E","Concrete jungle :","ocn877369534","2014014646","0520270150 (hbk.) :";"9780520270152 (hbk.) :",
"b118287795","779.47471 F","The way we were :","ocn891124576",,"9781499070934 :";"1499070934",
"b118287801","796.357 F","LF Baseball 1885-1889 /","ocn900217701",,"9781502925930 :";"1502925931 :",
"b11828843x","974.723 H","Coney Island /","ocn869775192","2013946828","9781467121316 (pbk.) :";"1467121312 (pbk.)",
"b118288635","B KRUH B","Brooklyn in my heart /","ocm55626504","2002092447","1401061613";"9781401061616";"1401061605 (pbk.) :";"9781401061609 (pbk.) :",
"b118288659","307.3 R","Brooklyn's Bushwick - urban renewal in New York, USA :","ocn881423536","2014935066","9783319057613 (hbk.) :";"3319057618 (hbk.)";"9783319057637 (Paper)";"3319057634 (Paper)",
"b118288660","974.723 W","Brooklyn's promised land :","ocn876883317","2014020829","0814724159 (hbk.) :";"9780814724156 (hbk.) :",
"b118288672","331.8811 I","Inside Ocean Hill-Brownsville :","ocn872646606","2013042569","9781438452968 (pbk. : alk. paper) :";"1438452969 (pbk. : alk. paper) :",
"b118288684","307.76 M","The horse in the city :","ocm71350484","2006030213","9780801886003 (hardcover : alk. paper) :";"0801886007 (hardcover : alk. paper)",
"b118288696","FIC NEURINGER","Candy stores I have known :","ocn782969176",,"9781469931807 (pbk.) :";"146993180X (pbk.)",
"b118302541","FIC JOHANNESEN","The Wulfenite affair & other stories /","ocn799130350",,"9780988109810";"0988109816",
"b118302565","FIC JOHANNESEN","Sister Patsy :","ocn869584404",,"9780988109827 (pbk.)";"0988109824 (pbk.)",
"b118302577","362.509 D","The poor among us :","ocn846906200",,"9780982553343";"098255334X",
"b118303077","929.2 W","What's in a name? : history and meaning of Wyckoff /","ocn895183260",,"1500379956";"9781500379957",
"b118305177","974.723 W","Brooklyn :","ocn895191608",,,
"b118305487","264.13 B","Prayers from Plymouth pulpit /","ocm09268611","09029951",,
"b11830561x","929.2 HEARN M","Emma Barendina De Young Hearn /","ocm14932376","86192477",,
"b11830818x","B O'KANE J","Jefferson Avenue :","ocn895195608",,"1493767046";"9781493767045 :",
"b118308270","252 C","Sermons.","ocn895200978",,,
"b118308282","252 C","Sermons.","ocn895201143",,,
"b118308294","252 C","Discourses /","ocn895201155",,,
"b118309134","248 S","A pastor's sketches :","ocm04176446","35022744",,
"b118309146","248 S","A pastor's sketches ;","ocm15704641",,,
"b118309171","920 W","Who's who in New York City and State.","ocm01673904","11007854",,
"b118309183","372.2 B","Annual report /","ocm39029066",,,
"b118309213","260 G","Church year book, New York City.","ocm48001678",,,
"b118309225","277 B87","Year book, Brooklyn Federation of Churches :","ocn752389019",,,
"b118309250","262 P","Proceedings of a council in Plymouth Church, Brooklyn, New-York, for the installation of the Rev. Lyman Abbot, D.D., as pastor, and the Rev. Howard S. Bliss, as assistant pastor, held January 16, 1980 :","ocm15524717",,,
"b118309286","373.22 S","Seventh commencement, Holy Trinity High School, June 21st, 1925.","ocn895273481",,,
"b118309377","378.009 P","Pratt Institute annual.","ocm42750386",,,
"b118309390","373.7471 A","The Adelphic.","ocm15050258",,,
"b118309687","373.7471 B","The Bushwick beacon.","ocn895289419",,,
"b118309699","373.7471 W","Winthrop owl.","ocn895289031",,,
"b118309717","373.7471 B","Drummer.","ocn895291257",,,
"b118309754","373.7471 M","The wigwam.","ocn895292215",,,
"b118309833","373.7471 L","Ledger.","ocn895658377",,,
"b118309870","973.4 B","Oration delivered by Hon. David A. Bokee, in the First Baptist Church, Brooklyn, July 4th, 1851, on the occasion of the seventy-sixth anniversary of our national independence.","ocm32011087",,,
"b118309894","252.68 B","Thanksgiving and thank-offerings :","ocm26409497",,,
"b118309912","285.8 S","References and citations prepared for the convenience of the Brooklyn Council of 1876.","ocm32961658",,,
"b118344602","974.723 C","A Coney Island reader :","ocn885148210","2014022522","0231165722 (hbk.)";"9780231165723 (hbk.)";"0231165730 (pbk.) :";"9780231165730 (pbk.) :",
"b118375453","811 F","Somewhere lower down /","ocm20219297",,"090340043X (pbk.)";"9780903400435 (pbk.)",
"b118375477","305.409 B","The wrong and peril of woman suffrage /","ocm52405794","09030394",,
"b118375520","B MENDELSON L","Let my people know :","ocm02700244","43009104",,
"b118375568","929.2 MCKAUGHAN M","McGahan clan :","ocn897362861",,,
"b11837560x","FIC GIGANTE-BROWN","The El /","ocn898732282",,"9780988626287";"0988626284",
"b118375611","974.723 H","The Parkslopian :","ocn898733610",,"9780692287163";"0692287167",
"b118375623","331.88 K","Justice for organized workers /","ocm05202383","32011719",,
"b118380266","305.896 D","Seize the future :","ocm13767306","97223241",,
"b118380308","320.532 R","Road to revolution :","ocm03623450",,,
"b11838031x","378.1981 S","Students and revolution :","ocm60416846",,,
"b118380321","320.532 L","Wake up and live /","ocm19100857",,,
"b118380333","956.95054 F","From Brooklyn to Balata :","ocm60861812",,,
"b118380345","320.531 P","Point of production.","ocn898757566",,,
"b118380357","252.03 M","When Christians become "subversive" :","ocn500537963",,,
"b118380370","336.7471 M","Developing and underdeveloping New York :","ocn898757770",,,
"b118380382","378.1543 V","Medgar Evers Community College study /","ocm19676899",,,
"b118380412","261.7 L","The Melish case :","ocn898758777",,,
"b118380436","320.532 F","The failure of the left to create a mass movement and a way forward.","ocm09913279",,,
"b118380448","305.896 H","Habari barua.","ocm44590023",,,
"b118380540","373.7471 M","The Manualite /","ocm62139063",,,
"b118380552","373.7471 B","Paragon.","ocn898762678",,,
"b118380564","373.7471 B","The image.","ocn898762861",,,
"b118380576","373.7471 C","Bartonian.","ocn898762912",,,
"b118380588","373.7471 M","The Manual anvil /","ocn898762906",,,
"b11838062x","373.7471 C","Interlude.","ocn898874778",,,
"b118380631","373.7471 C","The Torch.","ocn898874620",,,
"b118380643","373.7471 C","Crossroads.","ocn898874981",,,
"b118380655","373.7471 C","Shallow bugle.","ocn898875048",,,
"b118389828","YID 335.83 L","Di reṿolutsye /","ocm19306132","95828915",,
"b11838983x","GER 335.64 F","Fahnenweihe am 3. Juni 1934.","ocn899013728",,,
"b118392529","B BLACK B","Joe Black :","ocn900665358","2014036144","0897337530 (hbk.) :";"9780897337533 (hbk.) :",
"b118429097","791.06874 F","Coney Island :","ocn886493343","2014933284","0300189907 :";"9780300189902 :",
"b118496700","709.2 B","Basquiat :","ocn900685652","2014957630","0847845826 (hardcover) :";"9780847845828 (hardcover) :";"0872731790 (paperback)";"9780872731790 (paperback)",
"b118499385","305.42 B","Spinster :","2014037871","2014037871","9780385347136 :";"0385347138 :",
"b11850745x","B HODGES Z","Gil Hodges :","ocn894747523","2014953036","0803211244";"9780803211247 :",
"b118507485","FIC GROCHALSKI","The librarian /","ocn877012373",,"9781926616551 :";"1926616553",
"b118507503","811 G","Starting with the last name Grochalski /","ocn904440942",,"9781499754629 :";"1499754620 :",
"b118507618","FIC COHEN","Good hipster man /","ocn904442285",,"9781105033322 :";"1105033325 :",
"b118509238","385.0974 S","The Long-Island Rail-Road Company :","ocn893568378",,"9780988691643 (hardcover)";"0988691647 (hardcover)",
"b11850924x","385.0974 T","The New York Connecting Railroad :","ocm78620570","2011379252",,
"b118509251","385.0974 F","A comprehensive look at the other railways of Long Island.","ocn895281263",,"9780988691612 (hardcover)";"0988691612 (hardcover)",
"b118509305","779.4742 M","A tale of two cities :","ocn885212245",,"9780991014118 :";"0991014111",
"b118509317","779.4741 B","My New York :","ocn904449973",,"9781617042522 :";"1617042528 :",
"b118509330","709.73 KOPPELMAN N","Napoleon entering New York :","ocn767577905",,"9788849222258 :";"8849222254",
"b118509469","746.4 C","Burlap boutique :","ocn880861835",,"1440241511 :";"9781440241512   :",
"b118511889","307.3416 A","Atlantic Yards Arena and redevelopment project :","ocn904547496",,,
"b118511944","252 B41 Se10","The sermons of Henry Ward Beecher in Plymouth Church, Brooklyn /","ocn904548769",,,
"b118511956","252.058 B414 SC","Sermons /","ocm01514803","15028256",,
"b118512055","373.7471 M 584","The messenger-bird :","ocn228696277",,,
"b118512250","373.7471 G","The torch.","ocn904556267",,,
"b118512286","373.7471 S243 G","The green and gold handbook :","ocn904556726",,,
"b118516656","027.47471 G","Reading publics :","ocn896806656","2014028080","0823262642 (hardback) :";"9780823262649 (hardback) :",
"b118600588","796.32364 F","The Story of the Brooklyn Nets /","ocn877853228","2013037442","9781628320107 (paperback) :";"1628320109 (paperback)",
"b11860059x","974.723 S","Old Bay Ridge & Ovington Village :","ocn898088560",,"1626196818 (pbk.) :";"9781626196810 (pbk.) :",
"b118600618","796.357 K","The rivalry heard 'round the world :","ocn864845184",,"9781613213995";"1613213999",
"b11860062x","796.35764 E","Tales from the Dodgers dugout :","ocn854945643","2014004236","1613216459 (hardback) :";"9781613216453 (hardback) :",
"b118600643","759.13 BASQUIAT J","Jean-Michel Basquiat drawing :","ocn874727707","2014933664","0847844471 :";"9780847844470 :",
"b118603541","307.3416 G","The edge becomes the center :","ocn884539486",,"1468308610";"9781468308617",
"b118705295","306.0974 D","The ville :","ocn895337909","2014952821","0823265676";"9780823265671",
"b118724265","FIC ISLAM","Bright lines :","ocn906024387","2015011851","9780143123132";"0143123130",
"b118753496","725 L","Brooklyn spaces :","ocn889523151","2014956678","1580934285";"9781580934282",
"b118754622","779.9974 R","In the vale of cashmere /","ocn898155314",,"9781576877159 (hbk.)";"1576877159 (hbk.)",
"b118755286","728 O","The papers of Frederick Law Olmsted.","ocm37696728","97196703","0801855322";"9780801855320";"9781421410869";"1421410869",
"b118781273","974.723 M","Brooklyn's historic Greenpoint /","ocn904765042",,"9781617042744";"1617042749",
"b118782253","307.768 G","Gardens of Eden :","ocn903363385","2015000169","9780393733211 (hardcover) :";"0393733211 (hardcover)",
