001,010,020$a,022$a,245$a
"ocn755041170","\\$a01016261",,,"Retrographs: comprising a history of New York city prior to the revolution"
"ocn886695317","\\$a01014356",,,"New York during the last half century :"
"ocn897865140","\\$a01022107",,,"The natural, statistical and civil history of the state of New-York ... /"
"ocm06512093","\\$a15018646",,,"New York's part in history /"
"ocm00938239","\\$a09014587",,,"History of the city of New York in the seventeenth century,"
"ocm01601159","\\$a02004711",,,"New Jersey as a colony and as a state"
"ocm00045703","\\$a71087179 //r85",,,"New York painting and sculpture:"
"ocm00520386","\\$a29017769",,,"An outline of period furniture,"
"ocm02158109","\\$a03030499",,,"The history of American sculpture /"
"ocm01329404","\\$a30031297",,,"Modern American painters."
"on1042493896","\\$a38034577",,,"Woodcuts of New York :"
"ocm00797657","\\$a72089897","080710213X",,"James Dakin, architect, his career in New York and the South /"
"ocm01117022","\\$a42025527",,,"The Artist in America :"
"ocm01381396","\\$a63005886",,,"John Paul Jones: prints and drawings, 1948-1963."
"ocm02625358","\\$a30032804",,,"Robert Feke, colonial portrait painter,"
"ocm00926979","\\$a63021679",,,"Lost examples of colonial architecture"
"ocm02762319","\\$a13025244",,,"Charles Follen McKim"
"ocm00691735","\\$a51004857",,,"The homes of America, as they have expressed the lives of our people for three centuries."
"ocm03444265","\\$a42014198",,,"Historic houses of the Hudson valley,"
"ocm00144692","\\$a75139754","0498078426",,"New Jersey's historic houses"
"ocm01056338","\\$a74181592","0913344176",,"Walking around in South Street"
"ocn772390767","\\$a32001059",,,"Dutchess county doorways and other examples of period-work in wood,"
"ocm00906665","\\$a26006948",,,"Development of American architecture, 1783-1830."
"ocm00571984","\\$a72009000 //r90","0070383103",,"Bricks & brownstone :"
"ocm00299439","\\$a47004312",,,"A treasury of American book illustration,"
"on1011840991","\\$a35035354",,,"The Star spangled banner"
"ocm00390650","\\$a31026698",,,"Our American music :"
"ocm03007585","\\$a04006893",,,"The Great Companion."
"ocn850351704","\\$a02030255",,,"Morning lights and evening shadows [poems]"
"ocm30598586","\\$a01024184",,,"The ruling passion :"
"on1000932267","\\$a34009069",,,"Memoir of the life and character of the Rev. Samuel Bacon, A.M. :"
"ocm01059389","\\$a25006177",,,"Portrait of a publisher,"
"ocm01506904","\\$a12022637",,,"George Palmer Putnam"
"ocm00409141","\\$a98001276",,,"The lost word :"
"ocm00000750","\\$a68009580",,,"History under the sea"
"ocm04017046","\\$a57007003",,,"The best indoor game."
"ocm01685048","\\$a03000730",,,"Book-plates of to-day"
"ocm00363447","\\$a70163359",,,"The New York Public Library :"
"ocm03835557","\\$a08034672",,,"History of the New York society library,"
"ocm01361452","\\$a26011952",,,"A monograph on privately illustrated books"
"ocn464949093","\\$a30017830",,,"Early American poetry"
"ocm01169714","\\$a67029297",,,"A bibliography:"
"ocm00431638","\\$a68003051 //r822",,,"Historical materials relating to northern New York"
"ocm01109236","\\$a27008671",,,"The New York tercentenary, and exhibition of the history of New Netherland 1524-1674,"
"ocm01011459","\\$ae 16001026",,,"A list of books relating to the history of the state of New York ..."
"ocm00574481","\\$a03019074",,,"A calendar of John Paul Jones manuscripts in the Library of Congress."
"ocm27413443","\\$a28019775",,,"A catalogue of British family histories,"
"ocm01464052","\\$a62004252",,,"Long Island genealogical source material"
"ocn795330660","\\$a36024645",,,"The country printer,"
"ocm00634421","\\$a05020007",,,"List of the Benjamin Franklin papers in the Library of Congress."
"ocm07483678","\\$a05011462",,,"Catalogue of maps and surveys in the offices of the Secretary of State, of the State Engineer and Surveyor, and in the New-York State Library."
"ocn921924889","\\$a05001169",,,"Papers of James Monroe,"
"ocm02057759","\\$a02010782",,,"A calendar of Washington manuscripts in the Library of Congress."
"ocm01980711","\\$a16001688",,,"Checklist of newspapers and official gazettes in the New York public library"
"ocm00432989","\\$a68004788",,,"Local government in New York State during the Dutch period"
"ocm00258548","\\$a79168901","0912296003",,"William Cobbett and the United States, 1792-1835"
"ocm00141893","\\$a70125265",,,"Urban educator: Harry D. Gideonse,"
"ocn921924725","\\$a50005602",,,"Famous first facts"
"ocm02594964","\\$a10001723",,,"Curious punishments of bygone days,"
"ocm02271029","\\$a24018480",,,"Catalogue of the Egyptological library and other books from the collection of the late Charles Edwin Wilbour /"
"cbh-000732","\\$a04019176",,,"Burr bibliography."
"ocm02306566","\\$a07038179",,,"In a dike shanty,"
"ocm02184426","\\$a48003705",,,"Zoning in New York,"
"ocm01856558","\\$a55062316",,,"Joint study of arterial facilities :"
"ocm00816522","\\$a48000384",,,"Apartment houses,"
"ocm02325665","\\$a00002964",,,"The practice of typography"
"ocm00122383","\\$a71082294","0674483650",,"Joseph Stella"
"ocn730907712","\\$a65025292",,,"Contemporary synagogue art"
"cbh-000733","\\$a14015372",,,"Indian blankets and their makers,"
"ocm01635725","\\$a34027256",,,"The story of American furniture,"
"ocm03548782","\\$a60019165",,,"The Jewish population of the New York area, 1900-1975 /"
"ocm00577299","\\$a55024360",,,"A genealogical guide :"
"ocm00577681","\\$a61001054",,,"Bibliography of American directories through 1860."
"ocm00315166","\\$a74187078","0910946159",,"Genealogies in the Library of Congress"
"ocm01133146",,,,"A history of the Reformed Church, Dutch, the Reformed Church, German, and the Moravian Church in the United States."
"ocm00946604","\\$a60015982",,,"Sources for the study of the New York area /"
"ocm00117881","\\$a79108955",,,"First families"
"ocn987955418","\\$a36007868",,,"The art of ancestor hunting"
"ocm00909102","\\$a33027163",,,"Julia Newberry's diary,"
"ocm01373714","\\$a65015856",,,"The happy valley"
"ocm00405829","\\$a19007115",,,"Henry Ward Beecher:"
"ocm17244012","\\$a49055495",,,"A Soldier of conscience, Edward Perkins Clark, born October 21, 1847, died February 16, 1903."
"ocm00187990","\\$a36012280",,,"From Harlem to the Rhine"
"ocm01706974","\\$a19016000",,,"Average Americans,"
"cbh-000734","\\$a17025965",,,"The foes of our own household,"
"ocm00529531","\\$a61006269",,,"They came to kill"
"ocm00692733","\\$a36007346",,,"Peter Porcupine"
"ocm00124571","\\$a72141996","0912012110",,"Hart Crane:"
"ocm06173763","\\$a18013435",,,"The fireman, and other poems."
"ocm01193921","\\$a06007973",,,"A rose of a hundred leaves :"
"ocm05226711","\\$a32033643",,,"Yale lectures on preaching /"
"ocm06800531","\\$a36016633",,,"The overture of angels,"
"ocm00285264","\\$a31018369",,,"Royal truths."
"ocm04759417","\\$a11007743",,,"Hearts and the highway"
"ocm00170536","\\$a04017133",,,"The one I knew the best of all"
"cbh-000735","\\$a17005088",,,"The revision of the statutes of the state of New York and the revisers."
"on1037403000","\\$a42026161",,,"That lass o' Lowrie's,"
"ocm11016439","\\$a14020779",,,"Anne's Bridge,"
"ocm01880509","\\$a14020780",,,"Between friends,"
"ocm09156211","\\$a12031165",,,"City festivals."
"ocm02604815","\\$a07036206",,,"In old school days,"
"ocm01484942","\\$a12031166",,,"Rhymes of our planet,"
"ocm01334549","\\$a02026313",,,"Songs of two centuries,"
"ocm06298487","\\$a12021991",,,"A thousand more verses,"
"ocm02580359","\\$a21019904",,,"Young folks' centennial rhymes."
"ocm02077228","\\$a06023334",,,"The mystery of choice,"
"ocm01910333","\\$a64056633",,,"Medicine and health in New Jersey:"
"ocm00308585","\\$a70181641","0060136626",,"The uncrowned queen"
"cbh-000736","\\$a23008353",,,"The colonial policy of William III in America and the West Indies,"
"ocm00104640","\\$a74134274","0871980908",,"The heritage of Long Island."
"ocn223116605","\\$a49004583",,,"The golden age of colonial culture."
"ocm01535955","\\$a04017071",,,"Men of business,"
"ocm00636739","\\$a72612555",,,"The spirit of '76."
"ocn166601990","\\$a12024376",,,"The veil removed"
"ocm00425610","\\$a02002891",,,"Historical view of the American revolution ..."
"ocm02829243","\\$a02026761",,,"The loyalists in the American Revolution,"
"ocm01352524","\\$asd 19000184",,,"George Washington day by day,"
"ocn976887188","\\$a30015559",,,"The Adams family,"
"ocn148815157","\\$a23002812",,,"The Magyars in America,"
"ocm00361673","\\$a76112032",,,"The Black migration,"
"ocn478041631","\\$a24007037",,,"The rest of Don Juan."
"ocm01191620","\\$a07026106",,,"Shoulder-straps :"
"ocm29823818","\\$a26022113",,,"Life thoughts, gathered from the extemporaneous discourses of Henry Ward Beecher."
"ocm54153662","\\$a24029046",,,"The palace beautiful, and other poems /"
"ocm03570015","\\$a24019177",,,"Fern leaves from Fanny's port-folio /"
"cbh-000737","\\$a10014156",,,"Biological analogies in history,"
"ocm00625321","\\$a08005106",,,"The rector of St. Bardolph's "
"ocm11889179","\\$a08008636",,,"Bertha and Lily :"
"ocm00276084","\\$a21003526",,,"The Christmas holly /"
"ocm02349862","\\$a08001551",,,"Memoirs of John Adams Dix /"
"ocm01484866","\\$a11004731",,,"American slavery and colour /"
"cbh-000738","\\$a99002112",,,"A life for liberty"
"ocm02437722","\\$a11027409",,,"Isaac T. Hopper: :"
"ocm00186402","\\$a21004401",,,"The life of Whitelaw Reid /"
"ocm20066799",,,,"Protection of freedmen: actual condition of the rebel states :"
"ocm00424609","\\$a14015947",,,"Works of Fisher Ames /"
"ocm00588344","\\$a17028097",,,"A revolutionary pilgrimage"
"ocm02295962","\\$a05001845",,,"The block-house by Bull's Ferry /"
"ocm02180786","\\$a02002995",,,"The Battle of Harlem Heights, September 16, 1776 :"
"ocm00927441","\\$a08023889","040407300X",,"The Revolutionary records of the State of Georgia ..."
"cbh-000739","\\$a15005846",,,"Narrative of Johann Carl Buettner in the American revolution."
"ocm00425074","\\$a12040120",,,"Songs and ballads of the American revolution."
"ocm02405867","\\$a26010009",,,"Rufus King and his times,"
"ocn883403531","\\$a05005428",,,"Dolly Madison,"
"ocm57012666","\\$a29021291",,,"Up to now"
"ocm01541078","\\$a25018478",,,"Released for publication"
"ocm12576620","\\$a27010316",,,"From sheep pasture to skyscraper,"
"ocm08158557","\\$a01014808",,,"Albany and its place in the history of the United States."
"ocm00569426","\\$ags 07000386",,,"Geology of New-York."
"ocm01865853","\\$a10032672",,,"The life of Ulysses S. Grant, general of the armies of the United States."
"ocn478059434","\\$a20006189",,,"The diary of the Revd. Daniel Fuller with his account of his family & other matters."
"ocm00371955","\\$a35028348",,,"Slavery in Connecticut."
"ocm02136007","\\$a27002642",,,"The history of Woodstock, Connecticut,"
"ocm06051637","\\$arc 01003331",,,"Woodstock,"
"ocm02351867","\\$a29018694",,,"A history of Trenton, 1679-1929, two hundred and fifty years of a notable town with links in four centuries ..."
"ocm00739427","\\$a32027568",,,"Letters and papers of Major-General John Sullivan, Continental Army /"
"ocm00179487","\\$a67012868 //r83",,,"The geology of New York City and environs"
"cbh-000740","\\$a10016751",,,"The life of George Washington, commander in chief of the American forces,"
"ocm11163672",,,,"Historical pageant :"
"on1037504387","\\$a01014140",,,"A history of Jefferson County in the state of New York,"
"ocm00518125","\\$a63022603",,,"Fish-shape Paumanok:"
"ocm03963585","\\$a18007130",,,"History of Long Island from its discovery and settlement to the present time /"
"ocm01415420","\\$a21009059",,,"Loafing down Long Island /"
"ocm05973820","\\$a17013293",,,"An old frontier of France"
"ocm01235107","\\$a21027296",,,"Anthology and bibliography of Niagara Falls,"
"ocn898318989","\\$a25012439",,,"The minutes of the Court of sessions"
"ocm01370384","\\$a31023939",,,"Letters of a Westchester Farmer, 1774-1775"
"ocn187382222","\\$a99000945",,,"Notable New Yorkers of 1896-1899 :"
"ocm00516545","\\$a72169081","0064300307;9780064300308",,"The Columbia historical portrait of New York :"
"ocn752451330","\\$a01014318",,,"The memorial history of the city of New-York :"
"ocm00242602","\\$a68054197 //r71",,,"Jennie :"
"ocn228774227","\\$a59065186",,,"Jews in America after the American Revolution."
"ocm00709933","\\$a59065187",,,"Jews in America in colonial and Revolutionary times."
"ocm03434194","\\$a07019566",,,"The life and writings of De Witt Clinton, /"
"ocm00283289","\\$a33031725",,,"Crowded hours :"
"ocm00397348","\\$a66020725",,,"""Our crowd"" :"
"ocm01723376","\\$a01016285",,,"The story of the Palatines."
"ocm01491640","\\$a55006700",,,"The Province of West New Jersey, 1609-1702"
"ocm04691984","\\$a17002033",,,"Fifth avenue events :"
"on1049024883","\\$a06043811",,,"Opening ceremonies of the New York and Brooklyn Bridge, May 24, 1883."
"ocm01901323","\\$a08015718",,,"The Elgin botanic garden, its later history and relation to Columbia college, the New Hampshire grants and the treaty with Vermont in 1790 /"
"ocm01988604","\\$a38027087",,,"The Italians of New York :"
"ocm01347605","\\$a64015383",,,"Jewish landmarks in New York :"
"ocm00511956","\\$a68029003 //r832",,,"Black Manhattan /"
"ocn270678069","\\$a30006039",,,"From Quebec to New Orleans"
"ocm00004700","\\$a69013128 /AC","067132084X",,"Puerto Ricans, from island to mainland."
"on1037556203","\\$a05009998",,,"Novanglus and Massachusettensis, or, Political essays published in the years 1774 and 1775 :"
"on1012013943","\\$a42018983",,,"The earliest volume of Staten Island records, 1678-1813."
"ocm01840789","\\$a01014282",,,"A history of the county of Westchester :"
"ocn983813463","\\$a04005423",,,"The opening of the Mississippi :"
"ocm00025829","\\$a70627115",,,"The challenge of local history:"
"ocn500041907","\\$a01015815",,,"The story of New York,"
"ocm03253247","\\$a01015820",,,"A history of the state of New York, from the first discovery of the country to the present time."
"ocm03660481","\\$a01015822",,,"The Empire State:"
"ocm60712182","\\$a05033530",,,"The Philadelphia Negro :"
"ocn977974941","\\$a05001317",,,"A biographical dictionary,"
"ocm01383698","\\$a01015831",,,"History of the state of New York /"
"ocm03783293","\\$a01015839",,,"Calendar of historical manuscripts in the Office of the Secretary of State, Albany, N.Y. /"
"ocn316813419","\\$a22027209",,,"Minutes of the court of Fort Orange and Beverwyck, 1652-16[60]"
"on1012051294","\\$a11001263",,,"Religion in New Netherland"
"ocm01853870","\\$a37032157",,,"The book of Daniel Drew,"
"ocm01319880","\\$a12021172",,,"Official New York, from Cleveland to Hughes ..."
"ocm00170247","\\$a01016741",,,"History of the city of Buffalo and Erie county,"
"ocm00056121","\\$a68057434",,,"Brownsville :"
"ocm01962153","\\$a24031496",,,"Municipality of Buffalo, New York"
"cbh-000741","\\$a34001803",,,"Yaddo, yesterday and today"
"cbh-000742","\\$a23012563",,,"The Heathcote manor of Scarsdale, address written for the tenth annual meeting of the New York branch of the Order of colonial lords of manors in America,"
"ocm62163386","\\$a01015005",,,"Reminiscences of Troy, from its settlement in 1790 to 1807,"
"ocm05753244","\\$a22020893",,,"Biographical register of Saint Andrew's society of the state of New York ..."
"cbh-000743","\\$a62007045",,,"The Province of East New Jersey, 1609-1702,"
"ocm03813155","\\$a01007782",,,"History of Essex and Hudson countries, New Jersey."
"ocm03407758","\\$a24010427",,,"History of the municipalities of Hudson County, New Jersey, 1630-1923,"
"on1027517814","\\$a63062362",,,"Heads of families at the first census of the United States taken in the year 1790: Pennsylvania."
"ocm01894311","\\$a03014065",,,"The Passaic Valley, New Jersey, in three centuries ..."
"on1117892286","\\$a10035009",,,"Calendar of the papers of Martin Van Buren,"
"ocm00276100","\\$a19014002",,,"The broken soldier and the maid of France /"
"ocm01182083","\\$a17030303",,,"Fighting for peace /"
"ocn187573201","\\$a08030293",,,"The house of Rimmon :"
"ocm00963142","\\$a14015403",,,"The lost boy /"
"ocm06364933","\\$a09028299",,,"The white bees, and other poems /"
"ocm00169059","\\$a22016601",,,"Certain people of importance /"
"ocm00405196","\\$a08026048",,,"At last :"
"ocm01726480","\\$a11023057",,,"The sad shepherd :"
"ocm02728824","\\$a05034645",,,"Essays in application /"
"ocm04413721","\\$a08022362",,,"The address of the people of Great-Britain to the inhabitants of America.."
"ocm01378285","\\$a10013161",,,"Scotch Irish pioneers in Ulster and America,"
"ocn950927722","\\$a01024068",,,"The sons of liberty in New York :"
"on1011862669","\\$a75175272","0399110100",,"I never had it made /"
"ocm00492547","\\$a62015657",,,"Victory over myself /"
"ocm00151976","\\$a77147812 //r82",,,"Uncertain glory"
"ocm00444713","\\$a20021411",,,"A cycle of Adams letters, 1861-1865 /"
"ocm06175015","\\$a39012280",,,"Charles B. Stover, July 14, 1861-April 24, 1929"
"ocm00175588","\\$a64018682",,,"Progressives and urban school reform:"
"ocn921924986","\\$a10035016",,,"Calendar of the correspondence of George Washington,"
"ocm00478559","\\$a07038399",,,"Epitome of history and principles of education,"
"ocm02201125","\\$a10025616",,,"Stained glass as an art,"
"ocm01469625","\\$a27006131",,,"Spanish influence on American architecture and decoration."
"ocm02279878","\\$a12024575",,,"American graphic art,"
"ocm71054202","\\$a33018384",,,"From plan to reality,"
"ocm00390099","\\$a04006948",,,"The history of American music."
"ocm00926163","\\$a51000515",,,"William Strickland, architect and engineer, 1788-1854."
"ocm00556556","\\$a36027488",,,"Audubon,"
"ocm00064006","\\$a75095484",,,"Merchants and masterpieces :"
"ocm00452273","\\$a68058489//r863",,,"AIA guide to New York City /"
"ocm01921233","\\$a75007893//r80","0385112300 (pbk.) :;0385111754.",,"Fantasy postcards /"
"cbh-000744","\\$a64019518",,,"New York, N. Y. :"
"ocm02485637","\\$a30009124",,,"Towers of Manhattan."
"ocm14904160","\\$a86028633","0195043669 (alk. paper)",,"The Dodgers move west /"
"ocm13062917","\\$a85031966","0911020144 :",,"The Lenape :"
"ocm03169184","\\$a77021758//r85","0804692084",,"Essays in the history of New York City :"
"ocm15661500","\\$a87012243","0025334905",,"The first wave :"
"ocm02546535","\\$a66007159",,,"The life of Charles Cuthbert Hall:"
"ocn505750734",,,,"Greek revival architecture in America:"
"ocm01076797",,,,"New York's city streets"
"ocm22520170",,,,"Her New York story :"
"ocm01357113","\\$a67023511//r84",,,"The Brooklyn Museum handbook /"
"ocm00999861","\\$a01014304",,,"History of the city of New York, from its earliest settlement to the present time."
"ocm06671620","\\$a10006227//652",,,"Manual of the corporation of the city of New York, for the years..."
"ocm00382797","\\$a53001708",,,"The silent traveller in New York /"
"ocm13525269","\\$a86007100","0820308919 (alk. paper)",,"The boys of Bensonhurst :"
"ocm00248042","\\$a60060009//r76",,,"A guide to the study of the United States of America"
"ocm11812485","\\$a85005482","0517558580 :",,"When Brooklyn was the world, 1920-1957 /"
"ocm16774958","\\$a87060614",,,"Brooklyn Union Gas :"
"ocm15580900",,,,"Preservation planning program :"
"ocn946501303","\\$a65001535",,,"Stereo views,"
"cbh-000745","\\$a70135661","0801811120",,"M.H. Baillie Scott and the arts and crafts movement"
"ocm01327898","\\$a36027058",,,"John Marin"
"ocm02778331","\\$a03000462",,,"A history of the New York stage from the first performance in 1732 to 1901,"
"ocm01317913","\\$a54006854",,,"Education in New York State, 1784-1954"
"ocm24456551","\\$a06015976",,,"History of the common school system of the state of New York, from its origin in 1795, to the present time."
"ocm02586861","\\$a23016295",,,"Quaker education in the colony and state of New Jersey"
"ocn976538541","\\$a14004898",,,"The support of schools in colonial New York by the Society for the propagation of the gospel in foreign parts,"
"ocm00176451","\\$a68014499 //r83",,,"110 Livingston Street"
"ocm00396400","\\$a24030323",,,"An unofficial statesman--Robert C. Ogden,"
"ocm02298626","\\$a14017323",,,"Sketch of the life, character and work of Alonzo Crittenden, A. M., Ph."
"ocm03067905","\\$a22023336",,,"Samuel Train Dutton,"
"ocm00751414","\\$a15004031",,,"Memoir of John Griscom, LL."
"ocm02298674","\\$a34013909",,,"Dr. William H. Maxwell,"
"cbh-000746","\\$a11018177",,,"Methods in education,"
"ocm06226728","\\$a16012603",,,"Hints to persons about building in the country /"
"ocn756782739",,,,"Art and the Great War /"
"cbh-000747","\\$a12001446",,,"The status of the teacher,"
"ocn849891246","\\$a68026053",,,"Pre-revolutionary Dutch houses and families in northern New Jersey and southern New York."
"ocm00566052","\\$a28022677",,,"Some famous sailing ships and their builder, Donald McKay,"
"ocm04250497","\\$a08011307",,,"How to educate yourself: with or without masters."
"ocm04790322","\\$a14013546",,,"Religious education in the public schools of the state and city of New York"
"ocm00010950","\\$a68055868 //r83","0837110645",,"The history of the New York African free-schools,"
"ocm19934702","\\$a06044205",,,"A history of Amherst college during the administrations of its first five presidents, from 1821 to 1891."
"ocn427485474","\\$a34000912",,,"An Indian preacher in England"
"ocm00623456","\\$a72091214","087000185X",,"The death of the American university,"
"ocm00192735","\\$a27024482",,,"Rochester, The making of a university /"
"ocm02845825","\\$a35030966",,,"Barnard beginnings /"
"cbh-000748","\\$a45004626",,,"A long way forward :"
"ocm13165839","\\$a31008876",,,"Simeon Benjamin, founder of Elmira college, 1792-1868,"
"ocm06067013","\\$a07012745",,,"A famous convent school [the Academy of Mount St. Vincent-on-the-Hudson]"
"ocm00482576","\\$a72077639","0870001701",,"Race war in high school :"
"ocm00634035","\\$a66021944",,,"Report on Project history retrieval"
"ocm03666619","\\$a39026176",,,"Guide to depositories of manuscript collections in the United States."
"ocm00566002","\\$a38014569",,,"The Cloisters,"
"ocm00392264","\\$a20017269",,,"The life of Samuel F. B. Morse, LL."
"ocn210935812","\\$a18011108",,,"A history of the rise and progress of the arts of design in the United States /"
"ocn869430750","\\$a23013542",,,"Notes on American artists, 1754-1820,"
"ocm00557195","\\$a65000906",,,"Painting and sculpture in New Jersey"
"ocm08714929","\\$a42037722",,,"Historic American Buildings Survey"
"ocm15196618","\\$a86030184","0887065457 (pbk.);0887065449",,"Victorian childhood :"
"ocm04593022","\\$a78031194","0306775441 :",,"From Gothic revival to functional form :"
"ocm15198472","\\$a86043048","025336342X;0253204461 (pbk.)",,"Maria W. Stewart, America's first Black woman political writer :"
"ocm15084055","\\$a86046000","0394550269 :",,"New York intellect :"
"ocm15366679","\\$a87006545","0231061307 (hbk.);0231061315 (pbk.)",,"New immigrants in New York /"
"ocm00090973","\\$a77109965 //r852","0870990047",,"19th-century America: furniture and other decorative arts"
"ocm01769261","\\$a08036997",,"0042-8000","Vogue."
"ocm16406943","\\$a87019131","0292707487",,"Before the flames :"
"ocm00073566","\\$a70116442",,,"The Rise of an American architecture"
"ocm01087705","\\$a64007134",,,"Architecture in New Jersey,"
"ocm00087552","\\$a69019461",,,"The architecture of Minard Lafever."
"ocm01575291","\\$a29025448",,,"The life and times of Charles Follen McKim,"
"ocm00423683","\\$a18018805",,,"Architecture and democracy,"
"ocm00708728","\\$a04033591",,,"Th. Nast :"
"ocm01801990","\\$a32008434",,,"Early American painting,"
"ocm01201102","\\$a59003091",,,"Thomas Moran, explorer in search of beauty"
"ocm00693244","\\$a65011235",,,"Thomas Moran, artist of the mountains."
"ocm00191832","\\$a25025097",,,"The adventures of an illustrator, mostly in following his authors in America & Europe /"
"ocm01956732","\\$a21002910",,,"Early American painters"
"ocm00294438","\\$a48005061",,,"Highlights among the Hudson River artists."
"ocm01278159","\\$a26024586",,,"Paintings by John Trumbull at Yale university of historic scenes and personages prominent in the American revolution,"
"ocm01579315","\\$a38027117",,,"The works of Edwin Howland Blashfield,"
"cbh-000749","\\$a46027495",,,"The life and work of Edward Lamson Henry, N. A., 1841-1919,"
"ocm01198153","\\$a49050388",,,"John Wesley Jarvis, American painter, 1780-1840 :"
"ocm01096630","\\$a25015873",,,"Plans for concrete houses."
"ocm00075307","\\$a75104868",,,"Will they ever finish Bruckner Boulevard? /"
"ocm00408307","\\$a55008550",,,"Working for the people :"
"ocm00528489","\\$a52010302",,,"Robert Moses, builder for democracy."
"ocm05382626","\\$a51030559",,,"A plan for Manhattan Civic Center and related improvements."
"ocm01223753","\\$a25023001",,,"John S. Sargent, his life and work,"
"ocm01144162","\\$a27000698",,,"Early American wall paintings, 1710-1850"
"ocm03524127","\\$a65000428",,,"The decorative arts of early New Jersey"
"ocm02537829","\\$a02026769",,,"Modern mural decoration,"
"on1176053593","\\$a19019060",,,"The practical book of interior decoration,"
"ocm01464302","\\$a28025753",,,"American furniture and decoration, colonial and federal,"
"ocm00673130","\\$a72096715","0813904765",,"Ceramics in America."
"ocm02100044","\\$a21020929",,,"Early American portrait painters in miniature,"
"ocm01264809","\\$a58002879",,,"The life and works of Edward Greene Malbone, 1777-1807."
"ocm00226680","\\$a73162341","0870991086",,"Prints & people :"
"ocm00805124","\\$a73082943","0517506017",,"Popular prints of the Americas,"
"ocm01617301","\\$a00006748",,,"American glassware, old and new"
"ocm01265999","\\$a26001146",,,"Antiques,"
"cbh-000750","\\$a13025030",,,"Mural painting in America"
"ocm04850110","\\$a61065403",,,"Japanese ceramics from the collection of Captain and Mrs. Roger Gerry."
"ocm31419631","\\$a19015692",,,"Old New England doorways,"
"ocm79989939","\\$a03004979",,,"Silverwork and jewelry"
"ocm00630529","\\$a17016077",,,"Karl Bitter"
"ocm00892434","\\$a74621236",,,"Arts and the people"
"ocm32751199",,,,"Brooklyn in transition :"
"cbh-000751","\\$a56001157//r",,,"Historical memoirs of William Smith,"
"ocm05436112","\\$a12022799",,,"The story of Mohonk,"
"ocm01001478","\\$a28005521",,,"An encyclopaedia of ironwork "
"ocm78950556",,,,"Urban transportation :"
"ocm14520708","\\$a85047915","0913256927 (pbk.) :;0913256889 (hard) :",,"Caribbean life in New York City :"
"ocm54150528","\\$a01009666",,,"Painted tapestry and its application to interior decoration :"
"ocm02800381","\\$a77649608",,"0364-2437","Afro-Americans in New York life and history."
"ocm00865633","\\$a07031576",,,"The education of American girls."
"ocm00058068","\\$a77090921",,,"Public works:"
"ocm02709344","\\$a41023645 //r832",,,"Deep South :"
"cbh-000752","\\$a62052806",,,"Oneida County, New York State 1800 Federal population census schedule :"
"ocm00721061","\\$a37003525",,,"Selected writings of Abram S. Hewitt"
"ocm01526782","\\$a30020640",,,"The prophet of San Francisco"
"ocm01077678","\\$a35015130",,,"Lafayette comes to America,"
"ocm02589005","\\$a14010006",,,"A propaganda of philosophy"
"ocm00813627","\\$a39005867",,,"Richard Upjohn :"
"ocm01479298","\\$asn 79018450",,"0044-751X","Proceedings of the American Antiquarian Society."
"ocm17480009","\\$a87047777","0465032125;9780465032129;0465032117;9780465032112",,"In the age of the smart machine :"
"ocm79736386",,,,"Intensionality-extensionality and the press :"
"ocm17265738","\\$a87033971","0814757634 (pbk.) :",,"Colonial Dutch studies :"
"ocm16085581","\\$a87017663","0930031113 (pbk. : alk. paper) :",,"Permanent New Yorkers :"
"ocm17461790","\\$a87070109","0916489213 :",,"The Library :"
"ocm15107469","\\$a86030902","0826206190 (alk. paper)",,"The trade card in nineteenth-century America /"
"ocm00492497","\\$a02006030",,,"Some colonial homesteads and their stories,"
"ocm15743923","\\$a86051583",,,"City Tech :"
"ocm01673113","\\$a67005462",,"0449-2722","The journal of Long Island history."
"ocm04077749",,,,"Catalogue of vehicles :"
"ocm17858878","\\$a87051290","0500274975",,"Textiles of the arts and crafts movement /"
"ocm80731524",,,,"Brooklyn Rediscovery :"
"ocm07174510","\\$a80029100 //r833","084440358X",,"Bibliographic description of rare books :"
"ocm09430705","\\$a83621350",,,"Public papers of Hugh L. Carey, fifty-first governor of the State of New York."
"ocm15792408","\\$a87012078","0887360955 (alk. paper : pbk.) :;0887360947 (alk. paper) :",,"Blackball stars :"
"ocn173482856","\\$a08009802",,,"Index of economic material in documents of the states of the United States:"
"ocm01586159","\\$a01030242$zsn 77021860",,,"Brooklyn daily eagle almanac."
"ocm00422212","\\$a09031664",,,"The German element in the United States :"
"ocm02000367",,"0140208569;9780140208566",,"Before the Mayflower :"
"ocm17738169","\\$a87070108","0-916489-23-x",,"The archives :"
"ocm02567096","\\$a10000889",,,"Theodore Roosevelt, dynamic geographer,"
"ocm02366175","\\$a19010318",,,"Theodore Roosevelt; memorial addresses delivered before the Century association, February 9, 1919"
"ocm00006508","\\$a69063010 //r85",,,"Economic aspects of suburban growth"
"ocm00174453","\\$a62008487",,,"The enterprise of a free people: aspects of economic development in New York State during the canal period, 1792-1838."
"ocm02605082","\\$a43002488",,,"The Hundred year book, being the story of members of the Hundred year association of New York"
"ocn756782780","\\$a03032909",,,"American bibliography"
"ocm00067981","\\$a73100279 //r84","0837129354",,"Colored school children in New York."
"ocm20513101","\\$ae 15002533",,,"Manliness in the scholar."
"ocm00234331","\\$a65025662",,,"The politics of zoning"
